"ID";"City";"Province";"Country";"Canada"
"1";"Ottawa";"Quebec";"Canada";"Y"
"2";"Grand Forks BC";"British Columbia";"Canada";"Y"
"3";"Wellington BC";"British Columbia";"Canada";"Y"
"4";"Cranberry BC";"British Columbia";"Canada";"Y"
"5";"Saint John";"New Brunswick";"Canada";"Y"
"6";"Fernie BC";"British Columbia";"Canada";"Y"
"7";"Frank AB";"Alberta";"Canada";"Y"
"8";"Carbonado BC";"British Columbia";"Canada";"Y"
"9";"Edmonton";"Alberta";"Canada";"Y"
"10";"Calgary";"Alberta";"Canada";"Y"
"11";"Upper Arrow Lake BC";"British Columbia";"Canada";"Y"
"12";"Toronto";"Ontario";"Canada";"Y"
"13";"Red River MB";"Manitoba";"Canada";"Y"
"14";"Nova Scotia";"Nova Scotia";"Canada";"Y"
"15";"Spences Bridge BC";"British Columbia";"Canada";"Y"
"16";"Vancouver Island (BC)";"British Columbia";"Canada";"Y"
"17";"Quebec City";"Quebec";"Canada";"Y"
"18";"Notre-Dame-de-la-Salette QC";"Quebec";"Canada";"Y"
"19";"Chester NB";"New Brunswick";"Canada";"Y"
"20";"Burnaby and New Westminster BC";"British Columbia";"Canada";"Y"
"21";"Prairie Provinces";"";"";"N"
"22";"Spanish River ON";"Ontario";"Canada";"Y"
"23";"Rogers Pass BC";"British Columbia";"Canada";"Y"
"24";"St-Alphonse-de-Bagotville QC";"Quebec";"Canada";"Y"
"25";"Coucoucache QC";"Quebec";"Canada";"Y"
"26";"Cochrane";"Ontario";"Canada";"Y"
"27";"Regina SK";"Saskatchewan";"Canada";"Y"
"28";"Eastern Canada";"";"Canada";"Y"
"29";"Lakes Huron, Erie and Ontario";"Ontario";"Canada";"Y"
"30";"Newfoundland coast";"";"";"N"
"31";"Labrador";"";"";"N"
"32";"St. Lawrence River QC";"Quebec";"Canada";"Y"
"33";"Hillcrest AB";"Alberta";"Canada";"Y"
"34";"North Saskatchewan River AB and SK";"Saskatchewan";"Canada";"Y"
"35";"Nanaimo BC";"British Columbia";"Canada";"Y"
"36";"Cooper Mine, Jane Camp BC";"British Columbia";"Canada";"Y"
"37";"Northeastern New Brunswick";"New Brunswick";"Canada";"Y"
"38";"Ottawa";"Ontario";"Canada";"Y"
"39";"Winnipeg";"Manitoba";"Canada";"Y"
"40";"New Waterford NS";"Nova Scotia";"Canada";"Y"
"41";"Northwestern British Columbia";"British Columbia";"Canada";"Y"
"42";"Halifax and Dartmouth NS";"Nova Scotia";"Canada";"Y"
"43";"Across Canada";"";"Canada";"Y"
"44";"Pictou County NS";"Nova Scotia";"Canada";"Y"
"45";"Trenton ON";"Ontario";"Canada";"Y"
"46";"British Columbia, off coast";"British Columbia";"Canada";"Y"
"47";"Southwestern Ontario";"Ontario";"Canada";"Y"
"48";"Southeastern Saskatchewan";"Saskatchewan";"Canada";"Y"
"49";"Icelandic River and Fisher River MB";"Manitoba";"Canada";"Y"
"50";"Montreal";"Quebec";"Canada";"Y"
"51";"Canning NS";"Nova Scotia";"Canada";"Y"
"52";"Waswanipi reserve QC";"Quebec";"Canada";"Y"
"53";"Southern Alberta";"Alberta";"Canada";"Y"
"54";"Grand Falls NL";"Newfoundland and Labrador";"Canada";"Y"
"55";"Upper Gagetown and Burton NB";"New Brunswick";"Canada";"Y"
"56";"Lake St. Clair ON";"Ontario";"Canada";"Y"
"57";"Saskatchewan and Alberta";"Saskatchewan";"Canada";"Y"
"58";"Emerson MB";"Manitoba";"Canada";"Y"
"59";"Goulais River ON";"Ontario";"Canada";"Y"
"60";"Northern British Columbia";"British Columbia";"Canada";"Y"
"61";"Whitedog Lake ON";"Ontario";"Canada";"Y"
"62";"Come by Chance NL";"Newfoundland and Labrador";"Canada";"Y"
"63";"Duck Mountain and Swan River MB";"Manitoba";"Canada";"Y"
"64";"Saint-Romuald QC";"Quebec";"Canada";"Y"
"65";"Linton QC";"Quebec";"Canada";"Y"
"66";"Sarnia ON";"Ontario";"Canada";"Y"
"67";"Lethbridge, Taber, Irma and Wainwright AB";"Alberta";"Canada";"Y"
"68";"Louiseville, Yamachiche and St.-Justin Region of Trois-Rivieres QC";"Quebec";"Canada";"Y"
"69";"Central and Southern Alberta";"Alberta";"Canada";"Y"
"70";"Norman Wells NT";"Northwest Territories";"Canada";"Y"
"71";"Ontario and Manitoba";"Ontario";"Canada";"Y"
"72";"Courtland ON";"Ontario";"Canada";"Y"
"73";"Lesser Slave Lake region AB";"Alberta";"Canada";"Y"
"74";"Saguenay";"Quebec";"Canada";"Y"
"75";"Saint-Basile-le-Grand QC";"Quebec";"Canada";"Y"
"76";"Dundas ON";"Ontario";"Canada";"Y"
"77";"Albany and Attawapiskat River ON";"Ontario";"Canada";"Y"
"78";"Niagara Falls ON";"Ontario";"Canada";"Y"
"79";"Yukon to Ontario";"Yukon";"Canada";"Y"
"80";"Dryden ON";"Ontario";"Canada";"Y"
"81";"Montmartre SK";"Saskatchewan";"Canada";"Y"
"82";"Liard River NT";"Northwest Territories";"Canada";"Y"
"83";"Northern Manitoba";"Manitoba";"Canada";"Y"
"84";"Radisson QC";"Quebec";"Canada";"Y"
"85";"Saint-Jacques QC";"Quebec";"Canada";"Y"
"86";"Sudbury ON";"Ontario";"Canada";"Y"
"87";"Southwestern British Columbia";"British Columbia";"Canada";"Y"
"88";"Gulf of St. Lawrence QC";"Quebec";"Canada";"Y"
"89";"Saint-Leonard d'Aston QC";"Quebec";"Canada";"Y"
"90";"Ungava Peninsula QC";"Quebec";"Canada";"Y"
"91";"Newfoundland";"";"";"N"
"92";"Old Crow YT";"Yukon";"Canada";"Y"
"93";"Harrow ON";"Ontario";"Canada";"Y"
"94";"British Columbia to Ontario";"Ontario";"Canada";"Y"
"95";"Banff AB";"Alberta";"Canada";"Y"
"96";"Hagersville ON";"Ontario";"Canada";"Y"
"97";"Vancouver Harbour BC";"British Columbia";"Canada";"Y"
"98";"La Baie QC";"Quebec";"Canada";"Y"
"99";"Sainte-Anne des Plaines QC";"Quebec";"Canada";"Y"
"100";"St.-Amable QC";"Quebec";"Canada";"Y"
"101";"Western Alberta";"Alberta";"Canada";"Y"
"102";"Woodstock NB";"New Brunswick";"Canada";"Y"
"103";"Northumberland Strait (NS and PE)";"Nova Scotia";"Canada";"Y"
"104";"Southern Ontario";"Ontario";"Canada";"Y"
"105";"Joe Rich and Southern British Columbia";"British Columbia";"Canada";"Y"
"106";"Oka QC";"Quebec";"Canada";"Y"
"107";"Madeleine Islands QC";"Quebec";"Canada";"Y"
"108";"Southern Alberta and Saskatchewan";"Saskatchewan";"Canada";"Y"
"109";"Bugaboo Glacier Provincial Park BC";"British Columbia";"Canada";"Y"
"110";"Notre-Dame de Pierreville QC";"Quebec";"Canada";"Y"
"111";"Chaudiere River QC";"Quebec";"Canada";"Y"
"112";"Niverville MB";"Manitoba";"Canada";"Y"
"113";"Baie-Comeau";"Quebec";"Canada";"Y"
"114";"Red Deer AB";"Alberta";"Canada";"Y"
"115";"St. Lazare MB";"Manitoba";"Canada";"Y"
"116";"Saudi Arabia";"";"";"N"
"117";"Off Cape Beale BC";"British Columbia";"Canada";"Y"
"118";"Kinsella AB";"Alberta";"Canada";"Y"
"119";"Southern New Brunswick";"New Brunswick";"Canada";"Y"
"120";"Maskinonge QC";"Quebec";"Canada";"Y"
"121";"Jarvis ON";"Ontario";"Canada";"Y"
"122";"Near the North Pole NU";"Nuvanut";"Canada";"Y"
"123";"Canso NS";"Nova Scotia";"Canada";"Y"
"124";"Vernon BC";"British Columbia";"Canada";"Y"
"125";"Maritime Provinces";"";"";"N"
"126";"Grand Coulee SK";"Saskatchewan";"Canada";"Y"
"127";"Central Ontario";"Ontario";"Canada";"Y"
"128";"Haines AB";"Alberta";"Canada";"Y"
"129";"Lethbridge AB";"Alberta";"Canada";"Y"
"130";"Corunna ON";"Ontario";"Canada";"Y"
"131";"Elmira ON";"Ontario";"Canada";"Y"
"132";"Port au Choix NL";"Newfoundland and Labrador";"Canada";"Y"
"133";"Peace River AB";"Alberta";"Canada";"Y"
"134";"Port-aux-Basques NL";"Newfoundland and Labrador";"Canada";"Y"
"135";"Hay River NT";"Northwest Territories";"Canada";"Y"
"136";"Plymouth NS";"Nova Scotia";"Canada";"Y"
"137";"Attawapiskat ON";"Ontario";"Canada";"Y"
"138";"Longlac ON";"Ontario";"Canada";"Y"
"139";"Prairies Provinces and Ontario";"Ontario";"Canada";"Y"
"140";"Oakville MB";"Manitoba";"Canada";"Y"
"141";"Yukon Rivers YT";"Yukon";"Canada";"Y"
"142";"Yellowknife NT";"Northwest Territories";"Canada";"Y"
"143";"Avalon and Burin Peninsulas and Bonavista, Trinity and Conception Bays NL";"Newfoundland and Labrador";"Canada";"Y"
"144";"St. John's";"Newfoundland and Labrador";"Canada";"Y"
"145";"Prince Edward Island and New Brunswick";"New Brunswick";"Canada";"Y"
"146";"Shubenacadie NS";"Nova Scotia";"Canada";"Y"
"147";"Saskatchewan";"Saskatchewan";"Canada";"Y"
"148";"Quebec";"Quebec";"Canada";"Y"
"149";"Swan River MB";"Manitoba";"Canada";"Y"
"150";"Truro NS";"Nova Scotia";"Canada";"Y"
