ID,COMMENTS,KEYWORD1,KEYWORD2,KEYWORD3
1,Ottawa ON and Hull QC April 26 1900  A small chimney fire in Hull quickly spread to neighbouring buildings and then engulfed the Eddy lumberyard  A strong wind carried the fire to the Ottawa side  By the time the fire ended 3000 buildings had been destroyed in the OttawaHull region,april,chimney,fire
2,Grand Forks BC 1901 An explosion in the Union Mine killed 64 people,explosion,union,killed
3,Wellington BC 1901 Sixteen people were entombed in the 2 slope of the Wellington Colliery in the Kooteney region,sixteen,people,entombed
4,Cranberry BC 1902 An explosion in the Extension Colliery killed 32 people,explosion,extension,colliery
5,Saint John River Basin NB March 1902 An unusually early breakup and downstream movement of ice cover on the Saint John River resulted from heavy rains warm temperatures and raised water levels A total of 15 ice jams resulted from the raised water levels causing extensive damage including washouts of bridges roads and railways The lumber industry was also affected where damage to mills and loss of stock were reported,march,unusually,early
6,Fernie BC April 22 1902  An explosion in the 2 Mine Coal Creek killed 125 people,april,explosion,coal
7,Grand Forks BC 1903 An explosion in the Union Mine killed 16 people,explosion,union,killed
8,Frank AB April 29 1903 70 dead,april,dead,
9,Carbonado BC 1904  An explosion in the Carbonado Colliery killed 14 people,explosion,colliery,killed
10,Edmonton AB September 1 1992,september,,
11,Calgary AB July 17 1995,july,,
12,Upper Arrow Lake BC February 28 1903  A mass of rock estimated to be around 250 000 m3 broke away from the bluff of a cliff generating waves of up to 3 m when it hit the lake  A number of boats and a wharf were damaged creating havoc with shipping on Upper Arrow Lake ,february,mass,estimated
13,Toronto ON April 19 1904 The Great Toronto Fire,april,fire,
14,Red River MB April 24 1904 Severe flooding in the Winnipeg area of the Red River,april,severe,flooding
15,Nova Scotia February 1517 1905 Most severe storm of the Year of the Big Snow,february,severe,storm
16,Spences Bridge BC August 13 1905 A large gravel bank broke away from a mountain side and came crashing down on a First Nation reserve destroying homes and the local church,august,gravel,bank
17,British Columbia 1906 126 dead wreck of Valencia off Vancouver Island,dead,wreck,valencia
18,Quebec City QC August 29 1907 Nearing the completion of construction of the Quebec Bridge the southern span of the bridge over the Saint Lawrence River collapsed killing 75 workmen,august,nearing,completion
19,NotreDamedelaSalette QC April 26 1908 33 dead many injured,notredamedelasalette,april,dead
20,Fernie BC August 13 1908 100 dead,august,dead,
21,Chester NB January 4 1909 Mild weather caused ice to travel and possibly jam creating floods which caused expensive damage to highway bridges and roads,january,mild,weather
22,Burnaby and New Westminster BC November 28 1909 22 dead,november,dead,
23,Prairie Provinces 1910 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
24,Spanish River ON January 21 1910 63 dead 20 injured the back half of a CPR passenger train en route to Minneapolis left the track after it struck the end of a bridge,january,dead,injured
25,Rogers Pass BC March 5 1910 62 dead CPR workers one survivor,march,dead,cpr
26,StAlphonsedeBagotville QC April 15 1910  Construction camp buried by landslide in leda clay caused by blasting during construction of railway,stalphonsedebagotville,april,construction
27,Coucoucache QC April 18 1910  Slump of railway embankment,april,slump,railway
28,Cochrane and northern region ON July 11 1911 A Forest fire resulted in 73 deaths unofficially in the hundreds 200 made homeless 804650 sq km destroyed,july,forest,fire
29,Regina SK June 30 1912 28 dead hundreds injured 2500 homeless,june,dead,injured
30,Eastern Canada July 810 1912 Temperatures of 32C from Ontario to the Atlantic Ocean,july,temperatures,
31,Lakes Huron Erie and Ontario November 713 1913 270 sailors drowned 34 ships went down during a fierce weekend storm with winds up to 140 kmh entire crews of eight ships were lost,november,sailors,drowned
32,Newfoundland 1914 173 died when the ship Southern Cross vanished in storm off coast of Newfoundland,died,ship,vanished
33,Prairie Provinces 1914 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
34,Labrador April 1 1914 Seventyseven sealers froze to death during a violent storm on the ice off the southeast coast of Labrador  At the height of the storm from March 31April 2 the temperature was 23C with winds from the northwest at 64 kmh  Captain Wes Keane of the Newfoundland his ship being stuck in the ice for three days suggested to the sealers to walk across the ice to the hunt,april,seventyseven,sealers
35,St Lawrence River QC May 28 1914 1024 dead the CP liner Empress of Ireland collided with the Norwegian coal ship Storstad and sank in 14 minutes many lost were members of the Salvation Army 840 dead were passengers,dead,cp,liner
36,Hillcrest AB June 19 1914 189 dead 48 survivors a dust explosion occurred in the coal mine,june,dead,survivors
37,North Saskatchewan River AB and SK 1915 The combination of rain in the foothills and snowmelt resulted in the highest recorded spring flows on the North Saskatchewan River,combination,rain,foothills
38,Nanaimo BC 1915  Western Fuel Company explosion killed 22 people,fuel,company,explosion
39,Wellington BC February 1915 An accident at the Wellington Colliery led to the drowning of 19 miners,february,accident,colliery
40,Cooper Mine Jane Camp BC March 22 1915 56 dead approximately 22 injured,march,dead,approximately
41,Northeastern New Brunswick July 89 1915,july,,
42,Ottawa ON February 3 1916 7 dead,february,dead,
43,Winnipeg MB April 24 1916 Severe flooding in the Winnipeg area of the Red River,april,severe,flooding
44,Cochrane and Matheson ON July 29 1916 Both were destroyed,july,destroyed,
45,Quebec City QC September 11 1916 A new centre span for the Quebec Bridge was being hoisted into position when it fell into the St Lawrence River killing 13 workmen,september,centre,span
46,Fernie BC 1917  An explosion at the 3 mine at Coal Creek killed 34 people,explosion,coal,killed
47,Prairie Provinces 1917 Cereal crop drought occurred in parts of the Prairies,cereal,crop,drought
48,New Waterford NS July 25 1917 65 dead an explosion took place in mine 1 of the Dominion Coal Company,july,dead,explosion
49,Northwestern British Columbia October 28  November 19 1917 Heavy rains caused major flooding along the Skeena and Nass rivers and landslides also occured in many areas Numerous bridges were damaged and the Village of Aiyanish was wiped out houses crops and provisions were washed away,october,november,heavy
50,Halifax and Dartmouth NS December 6 1917 1963 dead 9000 injured 1600 buildings destroyed 12000 damaged and 6000 people left homeless The French munitions freighter Mont Blanc collided with the Belgian relief ship Imo in Halifax Harbour the Mont Blanc full of ammunition caught fire and exploded devastating the cities of Halifax and Dartmouth this was the largest manmade explosion ever to occur prior to the first nuclear explosion,december,dead,injured
51,Across Canada 19181925 More than 50000 dead two million affected,dead,affected,
